2017-05-07 12:32:53,199 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Moon\Desktop\framework-workspace1\springIOC3\src\main\resources
2017-05-07 12:32:53,200 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2017-05-07 12:32:53,202 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Moon\Desktop\framework-workspace1\springIOC3\src\test\resources
2017-05-07 12:32:53,720 [Worker-15] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: springIOC4:springIOC4:0.0.1-SNAPSHOT @ C:\Users\Moon\Desktop\framework-workspace1\springIOC4\pom.xml.
2017-05-07 12:32:54,184 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2017-05-07 12:32:54,186 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Moon\Desktop\framework-workspace1\springIOC4\src\main\resources
2017-05-07 12:32:54,189 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2017-05-07 12:32:54,191 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Moon\Desktop\framework-workspace1\springIOC4\src\test\resources
2017-05-07 12:32:55,075 [Worker-15] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: springIOC5-sol:springIOC5-sol:0.0.1-SNAPSHOT @ C:\Users\Moon\Desktop\framework-workspace1\springIOC5-sol\pom.xml.
2017-05-07 12:32:55,435 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2017-05-07 12:32:55,437 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Moon\Desktop\framework-workspace1\springIOC5-sol\src\main\resources
2017-05-07 12:32:55,438 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2017-05-07 12:32:55,439 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Moon\Desktop\framework-workspace1\springIOC5-sol\src\test\resources
2017-05-07 12:32:56,285 [Worker-15] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: springIOC6:springIOC6:0.0.1-SNAPSHOT @ C:\Users\Moon\Desktop\framework-workspace1\springIOC6\pom.xml.
2017-05-07 12:32:56,816 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2017-05-07 12:32:56,817 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Moon\Desktop\framework-workspace1\springIOC6\src\main\resources
2017-05-07 12:32:56,818 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2017-05-07 12:32:56,823 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Moon\Desktop\framework-workspace1\springIOC6\src\test\resources
2017-05-07 12:32:57,966 [Worker-15] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: springIOC7:springIOC7:0.0.1-SNAPSHOT @ C:\Users\Moon\Desktop\framework-workspace1\springIOC7\pom.xml.
2017-05-07 12:33:00,093 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2017-05-07 12:33:00,095 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Moon\Desktop\framework-workspace1\springIOC7\src\main\resources
2017-05-07 12:33:00,096 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2017-05-07 12:33:00,097 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Moon\Desktop\framework-workspace1\springIOC7\src\test\resources
2017-05-07 12:33:00,759 [Worker-15] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: springIOC8:springIOC8:0.0.1-SNAPSHOT @ C:\Users\Moon\Desktop\framework-workspace1\springIOC8-dbcp\pom.xml.
2017-05-07 12:33:01,195 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2017-05-07 12:33:01,198 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Moon\Desktop\framework-workspace1\springIOC8-dbcp\src\main\resources
2017-05-07 12:33:01,199 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2017-05-07 12:33:01,201 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Moon\Desktop\framework-workspace1\springIOC8-dbcp\src\test\resources
2017-05-07 12:33:02,160 [Worker-15] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: springIOC9:springIOC9:0.0.1-SNAPSHOT @ C:\Users\Moon\Desktop\framework-workspace1\springIOC9\pom.xml.
2017-05-07 12:33:02,629 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2017-05-07 12:33:02,630 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Moon\Desktop\framework-workspace1\springIOC9\src\main\resources
2017-05-07 12:33:02,633 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2017-05-07 12:33:02,634 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Moon\Desktop\framework-workspace1\springIOC9\src\test\resources
2017-05-07 12:33:05,462 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2017-05-07 12:33:05,465 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Moon\Desktop\framework-workspace1\log4j-test\src\main\resources
2017-05-07 12:33:05,467 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2017-05-07 12:33:05,468 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Moon\Desktop\framework-workspace1\log4j-test\src\test\resources
2017-05-07 12:33:06,717 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2017-05-07 12:33:06,733 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 8 resources
2017-05-07 12:33:06,774 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2017-05-07 12:33:06,775 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Moon\Desktop\framework-workspace1\mybatis-study\src\test\resources
2017-05-07 12:33:07,204 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2017-05-07 12:33:07,206 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Moon\Desktop\framework-workspace1\springAOP1-ex\src\main\resources
2017-05-07 12:33:07,208 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2017-05-07 12:33:07,210 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Moon\Desktop\framework-workspace1\springAOP1-ex\src\test\resources
2017-05-07 12:33:07,763 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2017-05-07 12:33:07,765 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Moon\Desktop\framework-workspace1\springAOP1-solution\src\main\resources
2017-05-07 12:33:07,767 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2017-05-07 12:33:07,768 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Moon\Desktop\framework-workspace1\springAOP1-solution\src\test\resources
2017-05-07 12:33:08,773 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2017-05-07 12:33:08,775 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Moon\Desktop\framework-workspace1\springAOP2-before\src\main\resources
2017-05-07 12:33:08,779 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2017-05-07 12:33:08,781 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Moon\Desktop\framework-workspace1\springAOP2-before\src\test\resources
2017-05-07 12:33:09,739 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2017-05-07 12:33:09,741 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Moon\Desktop\framework-workspace1\springAOP3-afterreturning\src\main\resources
2017-05-07 12:33:09,743 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2017-05-07 12:33:09,744 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Moon\Desktop\framework-workspace1\springAOP3-afterreturning\src\test\resources
2017-05-07 12:33:10,365 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2017-05-07 12:33:10,366 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Moon\Desktop\framework-workspace1\springAOP4-around\src\main\resources
2017-05-07 12:33:10,367 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2017-05-07 12:33:10,368 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Moon\Desktop\framework-workspace1\springAOP4-around\src\test\resources
2017-05-07 12:33:11,607 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2017-05-07 12:33:11,608 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Moon\Desktop\framework-workspace1\springAOP5-around\src\main\resources
2017-05-07 12:33:11,609 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2017-05-07 12:33:11,610 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Moon\Desktop\framework-workspace1\springAOP5-around\src\test\resources
2017-05-07 12:33:12,241 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2017-05-07 12:33:12,243 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Moon\Desktop\framework-workspace1\springIOC2-maven\src\main\resources
2017-05-07 12:33:12,244 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2017-05-07 12:33:12,245 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Moon\Desktop\framework-workspace1\springIOC2-maven\src\test\resources
2017-05-07 12:33:12,432 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2017-05-07 12:33:12,433 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Moon\Desktop\framework-workspace1\springIOC3\src\main\resources
2017-05-07 12:33:12,434 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2017-05-07 12:33:12,435 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Moon\Desktop\framework-workspace1\springIOC3\src\test\resources
2017-05-07 12:33:12,710 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2017-05-07 12:33:12,711 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Moon\Desktop\framework-workspace1\springIOC4\src\main\resources
2017-05-07 12:33:12,712 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2017-05-07 12:33:12,713 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Moon\Desktop\framework-workspace1\springIOC4\src\test\resources
2017-05-07 12:33:13,195 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2017-05-07 12:33:13,197 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Moon\Desktop\framework-workspace1\springIOC5-sol\src\main\resources
2017-05-07 12:33:13,198 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2017-05-07 12:33:13,199 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Moon\Desktop\framework-workspace1\springIOC5-sol\src\test\resources
2017-05-07 12:33:13,763 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2017-05-07 12:33:13,764 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Moon\Desktop\framework-workspace1\springIOC6\src\main\resources
2017-05-07 12:33:13,766 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2017-05-07 12:33:13,768 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Moon\Desktop\framework-workspace1\springIOC6\src\test\resources
2017-05-07 12:33:14,860 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2017-05-07 12:33:14,861 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Moon\Desktop\framework-workspace1\springIOC7\src\main\resources
2017-05-07 12:33:14,862 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2017-05-07 12:33:14,863 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Moon\Desktop\framework-workspace1\springIOC7\src\test\resources
2017-05-07 12:33:15,302 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2017-05-07 12:33:15,303 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Moon\Desktop\framework-workspace1\springIOC8-dbcp\src\main\resources
2017-05-07 12:33:15,304 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2017-05-07 12:33:15,305 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Moon\Desktop\framework-workspace1\springIOC8-dbcp\src\test\resources
